Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Time Period
Brazil,2016,Sql Injection,Education,55.83,758258,Unknown,Zero-day,Encryption,44,73.62929240443226,2015-2019
Brazil,2016,Ddos,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26,17.321465970705272,2015-2019
France,2022,Malware,Healthcare,67.89,325521,Hacker Group,Social Engineering,VPN,69,208.5579732183177,2020-2024
Germany,2021,Ransomware,IT,5.54,254933,Nation-state,Social Engineering,AI-based Detection,41,21.731199962343048,2020-2024
Uk,2023,Ddos,Government,55.28,339144,Hacker Group,Unpatched Software,VPN,26,162.99860826079777,2020-2024
India,2022,Ransomware,Education,57.52,170002,Unknown,Unpatched Software,AI-based Detection,54,338.3489606004635,2020-2024
Japan,2019,Ddos,Government,74.65,491269,Nation-state,Zero-day,Firewall,67,151.95341045333615,2015-2019
China,2019,Phishing,Banking,49.14,341100,Insider,Social Engineering,Firewall,37,144.06332453825857,2015-2019
India,2018,Ddos,Government,36.04,446170,Insider,Unpatched Software,VPN,72,80.77638568258736,2015-2019
India,2015,Malware,Telecommunications,14.09,28398,Insider,Zero-day,Encryption,22,496.16170152827664,2015-2019
France,2017,Ransomware,Telecommunications,66.36,180698,Hacker Group,Zero-day,Encryption,53,367.24258154489814,2015-2019
Germany,2017,Malware,Healthcare,8.53,676384,Unknown,Social Engineering,VPN,44,12.611179448360694,2015-2019
Brazil,2015,Ransomware,Healthcare,61.91,961557,Insider,Unpatched Software,Firewall,64,64.38515865414115,2015-2019
Japan,2020,Phishing,Education,54.47,345334,Hacker Group,Weak Passwords,Antivirus,25,157.7313557309735,2020-2024
Russia,2024,Phishing,Education,87.88,263407,Nation-state,Zero-day,Antivirus,8,333.6281875576579,2020-2024
Russia,2017,Phishing,IT,89.22,791350,Nation-state,Social Engineering,Antivirus,32,112.74404498641562,2015-2019
China,2022,Ransomware,Telecommunications,64.92,591819,Unknown,Zero-day,Antivirus,49,109.69570088151951,2020-2024
Uk,2016,Sql Injection,IT,6.59,186612,Unknown,Unpatched Software,Antivirus,30,35.313913360341246,2015-2019
Japan,2018,Ransomware,Retail,48.0,187730,Nation-state,Weak Passwords,AI-based Detection,26,255.68635806743728,2015-2019
France,2015,Sql Injection,IT,87.78,6456,Hacker Group,Social Engineering,Firewall,69,13596.654275092937,2015-2019
Japan,2020,Malware,Banking,15.73,762662,Hacker Group,Zero-day,Firewall,56,20.625126202695295,2020-2024
Uk,2015,Phishing,IT,30.26,256396,Hacker Group,Zero-day,Encryption,29,118.02056194324405,2015-2019
Brazil,2021,Sql Injection,Healthcare,54.59,437634,Unknown,Weak Passwords,AI-based Detection,29,124.73893710269311,2020-2024
Russia,2015,Malware,Healthcare,63.09,80855,Nation-state,Zero-day,AI-based Detection,53,780.2856966174015,2015-2019
India,2016,Phishing,Retail,59.36,967614,Nation-state,Unpatched Software,AI-based Detection,71,61.3467767105478,2015-2019
Japan,2020,Ransomware,IT,79.52,934400,Unknown,Social Engineering,VPN,4,85.1027397260274,2020-2024
Germany,2023,Man-In-The-Middle,Telecommunications,87.83,547719,Unknown,Weak Passwords,AI-based Detection,22,160.35594894462307,2020-2024
China,2016,Malware,Healthcare,96.63,808984,Unknown,Weak Passwords,Firewall,26,119.44612007159597,2015-2019
Japan,2023,Ransomware,Banking,52.86,261038,Nation-state,Social Engineering,Encryption,48,202.4992529823244,2020-2024
China,2024,Phishing,Education,4.01,841054,Insider,Zero-day,Antivirus,49,4.767827036076161,2020-2024
China,2019,Ransomware,IT,68.02,175038,Hacker Group,Weak Passwords,VPN,67,388.601332282133,2015-2019
Russia,2022,Phishing,Retail,67.17,774613,Hacker Group,Weak Passwords,Encryption,53,86.7142689317117,2020-2024
Japan,2021,Phishing,Healthcare,37.45,558357,Hacker Group,Weak Passwords,VPN,49,67.07178382289467,2020-2024
India,2017,Phishing,Retail,36.78,620056,Nation-state,Weak Passwords,Firewall,14,59.31722296050679,2015-2019
Russia,2018,Malware,Healthcare,40.66,90640,Unknown,Social Engineering,Encryption,56,448.5878199470433,2015-2019
Russia,2022,Ransomware,Retail,76.93,449596,Unknown,Unpatched Software,AI-based Detection,3,171.10917356915988,2020-2024
Australia,2020,Ransomware,Healthcare,58.91,207842,Nation-state,Social Engineering,Antivirus,40,283.4364565391018,2020-2024
Germany,2017,Phishing,Retail,93.6,908249,Nation-state,Zero-day,AI-based Detection,53,103.05543964265306,2015-2019
Japan,2017,Phishing,Healthcare,47.39,470895,Nation-state,Social Engineering,Encryption,63,100.63814650824494,2015-2019
France,2017,Malware,Education,3.21,342049,Nation-state,Unpatched Software,AI-based Detection,31,9.384620332174629,2015-2019
Brazil,2018,Phishing,Banking,98.75,316891,Hacker Group,Social Engineering,Antivirus,55,311.62134614110215,2015-2019
India,2019,Man-In-The-Middle,Education,27.45,633466,Unknown,Zero-day,AI-based Detection,16,43.33302813410665,2015-2019
Usa,2023,Malware,Telecommunications,23.98,123866,Nation-state,Zero-day,Firewall,43,193.5963056851759,2020-2024
France,2017,Ddos,Telecommunications,79.93,305905,Unknown,Unpatched Software,Encryption,44,261.29026985502037,2015-2019
Russia,2023,Sql Injection,Telecommunications,3.66,702942,Nation-state,Unpatched Software,AI-based Detection,34,5.206688460783393,2020-2024
Brazil,2016,Man-In-The-Middle,Retail,72.78,11339,Hacker Group,Social Engineering,AI-based Detection,34,6418.555428168269,2015-2019
Uk,2017,Sql Injection,Banking,73.88,8385,Nation-state,Social Engineering,AI-based Detection,69,8810.971973762671,2015-2019
Russia,2024,Ransomware,Banking,52.8,21810,Insider,Zero-day,VPN,48,2420.9078404401653,2020-2024
India,2018,Man-In-The-Middle,Healthcare,94.6,7347,Insider,Zero-day,AI-based Detection,7,12876.003811079352,2015-2019
Germany,2021,Sql Injection,Education,1.62,61463,Hacker Group,Weak Passwords,Antivirus,58,26.3573206644648,2020-2024
Russia,2020,Ddos,Healthcare,0.82,683572,Insider,Zero-day,Antivirus,69,1.1995810243836786,2020-2024
Germany,2015,Malware,Healthcare,90.91,654633,Nation-state,Weak Passwords,Antivirus,43,138.8717036874096,2015-2019
Japan,2021,Ddos,Banking,32.84,311274,Hacker Group,Zero-day,Encryption,67,105.50190507398628,2020-2024
Russia,2017,Malware,Education,63.33,185208,Unknown,Zero-day,Firewall,3,341.9398730076455,2015-2019
Russia,2022,Man-In-The-Middle,Healthcare,27.82,182378,Insider,Social Engineering,AI-based Detection,10,152.54032832907478,2020-2024
China,2016,Phishing,IT,7.73,800480,Unknown,Zero-day,VPN,31,9.656705976414152,2015-2019
India,2019,Ddos,Banking,46.98,147761,Unknown,Unpatched Software,AI-based Detection,68,317.945872050135,2015-2019
Russia,2024,Ransomware,Banking,80.11,923911,Insider,Unpatched Software,Firewall,60,86.7074858942041,2020-2024
Germany,2024,Ransomware,Education,11.81,418893,Insider,Social Engineering,Firewall,31,28.193357253522976,2020-2024
Germany,2016,Ransomware,Education,15.09,914593,Unknown,Weak Passwords,AI-based Detection,1,16.4991422414123,2015-2019
Japan,2015,Sql Injection,Banking,20.69,344789,Unknown,Zero-day,AI-based Detection,69,60.0077148632932,2015-2019
India,2019,Ddos,Telecommunications,36.86,116906,Insider,Social Engineering,VPN,7,315.2960498178023,2015-2019
Australia,2019,Phishing,Education,10.87,812343,Insider,Social Engineering,Antivirus,16,13.381047168499022,2015-2019
China,2017,Malware,IT,18.17,346390,Hacker Group,Weak Passwords,Firewall,36,52.455324922774906,2015-2019
Brazil,2018,Phishing,IT,13.89,30925,Insider,Zero-day,Encryption,43,449.15117219078417,2015-2019
Uk,2017,Ddos,Government,15.63,663812,Nation-state,Zero-day,Antivirus,57,23.54582321500666,2015-2019
Brazil,2020,Man-In-The-Middle,Government,32.72,220978,Nation-state,Zero-day,VPN,47,148.06903854682366,2020-2024
Uk,2021,Ddos,Banking,97.03,100486,Nation-state,Unpatched Software,Firewall,31,965.6071492546225,2020-2024
Russia,2023,Sql Injection,Education,75.63,195733,Nation-state,Weak Passwords,Antivirus,70,386.3937097985521,2020-2024
Japan,2023,Man-In-The-Middle,Healthcare,64.21,707978,Nation-state,Weak Passwords,VPN,41,90.69490859885475,2020-2024
Brazil,2018,Phishing,Healthcare,99.14,456432,Insider,Weak Passwords,Antivirus,66,217.20650611701194,2015-2019
Brazil,2016,Man-In-The-Middle,IT,75.51,37230,Unknown,Social Engineering,AI-based Detection,52,2028.2030620467365,2015-2019
Uk,2015,Ddos,Government,11.68,890414,Nation-state,Unpatched Software,AI-based Detection,28,13.117493660252421,2015-2019
France,2021,Malware,IT,33.84,440358,Nation-state,Social Engineering,Antivirus,5,76.84656574877714,2020-2024
India,2022,Malware,Healthcare,38.89,400752,Insider,Unpatched Software,Antivirus,36,97.04255998722402,2020-2024
France,2018,Phishing,Banking,89.77,134364,Nation-state,Zero-day,Antivirus,63,668.1105057902414,2015-2019
Germany,2017,Ddos,Telecommunications,15.01,406483,Insider,Weak Passwords,Antivirus,62,36.92651353193123,2015-2019
Brazil,2018,Sql Injection,IT,98.38,661583,Insider,Social Engineering,Encryption,30,148.7039419090273,2015-2019
Russia,2015,Sql Injection,Education,23.49,642834,Unknown,Weak Passwords,Antivirus,34,36.541315487357544,2015-2019
Brazil,2017,Ransomware,IT,9.43,493087,Hacker Group,Unpatched Software,Encryption,44,19.124414150038433,2015-2019
Brazil,2021,Man-In-The-Middle,IT,97.37,966570,Nation-state,Weak Passwords,Antivirus,32,100.73765997289384,2020-2024
Russia,2022,Phishing,Telecommunications,73.26,687383,Nation-state,Weak Passwords,VPN,8,106.57813766124562,2020-2024
Germany,2020,Phishing,Retail,78.84,733304,Unknown,Weak Passwords,VPN,19,107.5133914447487,2020-2024
India,2023,Ransomware,Telecommunications,3.51,661681,Hacker Group,Weak Passwords,AI-based Detection,14,5.304670981938426,2020-2024
France,2020,Sql Injection,IT,25.32,644538,Unknown,Social Engineering,Antivirus,57,39.28395222624577,2020-2024
Germany,2015,Phishing,Banking,58.78,861637,Unknown,Social Engineering,VPN,15,68.21898316808587,2015-2019
Brazil,2016,Sql Injection,Telecommunications,73.76,393189,Unknown,Zero-day,Antivirus,37,187.59426128401353,2015-2019
France,2022,Sql Injection,Healthcare,27.06,999545,Hacker Group,Social Engineering,Encryption,47,27.072317904646614,2020-2024
Uk,2021,Sql Injection,IT,77.82,935572,Hacker Group,Social Engineering,Encryption,61,83.17906051057535,2020-2024
France,2016,Ransomware,IT,55.99,724608,Hacker Group,Social Engineering,Antivirus,21,77.26936495318849,2015-2019
Brazil,2024,Ddos,Banking,55.73,750979,Unknown,Social Engineering,AI-based Detection,30,74.20979814349003,2020-2024
India,2017,Malware,Telecommunications,7.44,552358,Nation-state,Weak Passwords,AI-based Detection,42,13.469525199236728,2015-2019
Australia,2019,Phishing,Banking,37.07,902654,Insider,Social Engineering,Antivirus,9,41.06778455532242,2015-2019
Uk,2022,Ransomware,Healthcare,75.67,413293,Hacker Group,Zero-day,Antivirus,27,183.09044672907598,2020-2024
India,2024,Malware,Retail,56.19,114357,Insider,Zero-day,AI-based Detection,58,491.356016684593,2020-2024
Usa,2018,Malware,Government,70.53,363432,Hacker Group,Zero-day,AI-based Detection,40,194.06656540976027,2015-2019
Japan,2016,Sql Injection,Telecommunications,63.77,304618,Unknown,Unpatched Software,Antivirus,54,209.3441621965872,2015-2019
India,2022,Sql Injection,IT,32.73,153154,Hacker Group,Zero-day,VPN,37,213.7064653877796,2020-2024
China,2022,Malware,Banking,21.87,741153,Insider,Social Engineering,Encryption,66,29.508077279590044,2020-2024
Japan,2024,Man-In-The-Middle,Healthcare,72.08,261230,Insider,Social Engineering,VPN,19,275.92542969796733,2020-2024
Uk,2023,Sql Injection,Telecommunications,53.82,688014,Unknown,Zero-day,Encryption,18,78.22515239515475,2020-2024
Australia,2018,Ddos,Education,3.3,45027,Unknown,Social Engineering,Antivirus,68,73.28935971750283,2015-2019
Australia,2021,Malware,Banking,13.99,689681,Nation-state,Weak Passwords,AI-based Detection,62,20.2847403364744,2020-2024
Germany,2024,Malware,Government,93.49,702688,Hacker Group,Unpatched Software,Antivirus,39,133.04624527528577,2020-2024
China,2016,Man-In-The-Middle,Banking,97.28,86038,Insider,Weak Passwords,Encryption,19,1130.6631953322951,2015-2019
Japan,2015,Malware,Education,17.19,899381,Insider,Unpatched Software,Firewall,66,19.113145596804912,2015-2019
India,2023,Malware,IT,54.21,157667,Insider,Weak Passwords,VPN,34,343.82591157312567,2020-2024
Uk,2021,Malware,Government,64.28,643714,Nation-state,Weak Passwords,VPN,25,99.85801147714669,2020-2024
Usa,2023,Ransomware,Education,71.31,3607,Insider,Zero-day,AI-based Detection,7,19769.891876906015,2020-2024
Uk,2017,Phishing,Banking,52.31,259706,Hacker Group,Social Engineering,Antivirus,2,201.42006730687777,2015-2019
India,2021,Man-In-The-Middle,Retail,40.94,698921,Insider,Weak Passwords,Firewall,72,58.57600501344215,2020-2024
Brazil,2024,Ransomware,Government,32.21,482574,Nation-state,Unpatched Software,Firewall,22,66.74623995490848,2020-2024
France,2017,Ddos,IT,20.44,618269,Nation-state,Weak Passwords,VPN,48,33.060043443873134,2015-2019
Russia,2016,Ransomware,Government,59.66,854961,Unknown,Unpatched Software,AI-based Detection,7,69.78096076897074,2015-2019
Brazil,2019,Sql Injection,Education,56.33,595157,Unknown,Zero-day,Encryption,41,94.64729474743639,2015-2019
France,2016,Sql Injection,Government,2.24,813706,Hacker Group,Weak Passwords,VPN,54,2.7528370197589793,2015-2019
Brazil,2018,Ddos,Telecommunications,82.05,322527,Nation-state,Weak Passwords,Firewall,46,254.39730627203303,2015-2019
China,2024,Ddos,Healthcare,11.92,557016,Unknown,Zero-day,Firewall,34,21.39974435204734,2020-2024
Uk,2017,Ddos,Healthcare,54.83,966668,Hacker Group,Weak Passwords,AI-based Detection,15,56.720611419846314,2015-2019
France,2020,Sql Injection,Retail,36.17,813165,Nation-state,Unpatched Software,Antivirus,44,44.480517484151434,2020-2024
France,2018,Sql Injection,Government,80.06,400807,Unknown,Weak Passwords,Firewall,67,199.74701040650487,2015-2019
Brazil,2023,Man-In-The-Middle,Retail,74.85,549300,Hacker Group,Weak Passwords,Antivirus,26,136.2643364281813,2020-2024
Brazil,2021,Ransomware,Government,74.01,956893,Unknown,Social Engineering,Antivirus,49,77.34407086267744,2020-2024
India,2015,Sql Injection,Government,46.2,245370,Insider,Social Engineering,AI-based Detection,57,188.28707665973835,2015-2019
Brazil,2017,Malware,IT,9.59,912731,Nation-state,Zero-day,Firewall,4,10.506929204771176,2015-2019
Usa,2017,Malware,Telecommunications,81.19,362085,Insider,Weak Passwords,VPN,5,224.2291174724167,2015-2019
Germany,2022,Sql Injection,Telecommunications,42.8,862664,Hacker Group,Zero-day,Firewall,44,49.6137546020235,2020-2024
China,2015,Ransomware,Telecommunications,32.65,313384,Insider,Social Engineering,Antivirus,51,104.18528067801802,2015-2019
Russia,2018,Malware,Banking,17.99,593009,Unknown,Social Engineering,Firewall,27,30.33680770443619,2015-2019
Germany,2023,Sql Injection,Banking,30.68,933754,Insider,Social Engineering,Firewall,36,32.85661962358394,2020-2024
Japan,2015,Ddos,Government,82.12,55055,Hacker Group,Unpatched Software,VPN,44,1491.5993097811279,2015-2019
France,2020,Sql Injection,Education,94.63,481180,Hacker Group,Weak Passwords,AI-based Detection,10,196.66237166964547,2020-2024
Russia,2020,Man-In-The-Middle,Banking,54.03,110260,Unknown,Weak Passwords,VPN,66,490.0235806276075,2020-2024
Usa,2020,Ddos,Government,10.54,741592,Insider,Social Engineering,VPN,69,14.212666803309636,2020-2024
Russia,2020,Phishing,Education,34.41,928026,Unknown,Social Engineering,VPN,5,37.07870253635135,2020-2024
Germany,2018,Sql Injection,Education,84.27,399014,Nation-state,Zero-day,Firewall,52,211.1955971469673,2015-2019
China,2018,Ransomware,Retail,35.08,42831,Hacker Group,Social Engineering,Antivirus,42,819.0329434288249,2015-2019
Uk,2018,Man-In-The-Middle,Healthcare,45.11,545613,Insider,Unpatched Software,VPN,25,82.67764880968745,2015-2019
Australia,2023,Man-In-The-Middle,Retail,92.57,813789,Nation-state,Unpatched Software,Antivirus,27,113.75184476565794,2020-2024
Uk,2015,Ransomware,Banking,13.49,345825,Hacker Group,Zero-day,AI-based Detection,6,39.00816887153907,2015-2019
Uk,2016,Phishing,Education,8.42,29671,Insider,Unpatched Software,Encryption,61,283.7787738869603,2015-2019
Australia,2020,Phishing,Government,92.5,34011,Insider,Unpatched Software,Firewall,9,2719.7083296580518,2020-2024
Usa,2018,Sql Injection,Banking,63.8,341383,Nation-state,Weak Passwords,Antivirus,9,186.88686900050675,2015-2019
Japan,2020,Ransomware,Banking,40.86,565080,Unknown,Zero-day,Encryption,6,72.30834572095986,2020-2024
Germany,2019,Malware,Banking,79.24,862136,Hacker Group,Zero-day,VPN,44,91.9112529809682,2015-2019
Japan,2022,Man-In-The-Middle,Retail,37.15,241151,Hacker Group,Social Engineering,Antivirus,56,154.05285485028054,2020-2024
India,2024,Man-In-The-Middle,Government,62.06,321158,Insider,Zero-day,VPN,37,193.23821919429065,2020-2024
France,2023,Phishing,Education,31.03,472386,Nation-state,Zero-day,Encryption,24,65.6878061585229,2020-2024
Uk,2015,Man-In-The-Middle,Healthcare,82.54,34240,Insider,Weak Passwords,Encryption,45,2410.6308411214955,2015-2019
Usa,2019,Malware,Government,34.4,98018,Insider,Zero-day,VPN,55,350.955946866902,2015-2019
Japan,2024,Phishing,Education,72.2,555808,Unknown,Weak Passwords,AI-based Detection,4,129.90097299786976,2020-2024
Uk,2021,Sql Injection,Healthcare,52.23,449333,Hacker Group,Unpatched Software,Encryption,39,116.23895863424231,2020-2024
Uk,2024,Man-In-The-Middle,Retail,7.16,368618,Nation-state,Social Engineering,Firewall,22,19.423902251110906,2020-2024
France,2022,Man-In-The-Middle,IT,78.23,310175,Hacker Group,Unpatched Software,AI-based Detection,53,252.21246070766503,2020-2024
Uk,2020,Phishing,Retail,25.1,986980,Nation-state,Zero-day,VPN,71,25.431113092463878,2020-2024
Uk,2024,Ddos,Retail,88.54,518181,Insider,Zero-day,Antivirus,24,170.86693645656632,2020-2024
India,2015,Phishing,Retail,49.51,72782,Unknown,Zero-day,Encryption,63,680.2506114149103,2015-2019
Russia,2018,Ddos,Telecommunications,4.08,502842,Unknown,Zero-day,VPN,15,8.113880702089324,2015-2019
Uk,2024,Phishing,Retail,89.31,376586,Unknown,Weak Passwords,AI-based Detection,51,237.15698406207346,2020-2024
Germany,2023,Phishing,Government,88.55,698597,Unknown,Social Engineering,Antivirus,66,126.75405133431721,2020-2024
Russia,2015,Sql Injection,Education,5.26,559195,Insider,Weak Passwords,VPN,52,9.406378812399968,2015-2019
India,2024,Ransomware,Retail,17.57,236253,Unknown,Social Engineering,Firewall,38,74.36942599670692,2020-2024
